subid,age,sex,mean_FD
sub-THU20231118133GYC,11.80821918,1,0.089223
sub-THU20231118134LZT,9.271232877,1,0.112579
sub-THU20231118136YHY,9.189041096,1,0.286097
sub-THU20231119140XJR,7.652054795,2,0.103397
sub-THU20231119141SYQ,11.76164384,2,0.067247
sub-THU20231119142SRE,10.97534247,2,0.117759
sub-THU20231119143SRE,8.589041096,1,0.20632
sub-THU20231203144LSC,11.5260274,2,0.138279
sub-THU20231203146LHZ,10.87123288,1,0.162713
sub-THU20231203147WHR,9.84109589,1,0.093972
sub-THU20231217154NJG,9.882191781,2,0.075727
sub-THU20231217155LRL,12.33424658,1,0.063229
sub-THU20231217157WCY,7.531506849,1,0.33958
sub-THU20231230150BYK,6.575342466,1,0.194841
sub-THU20231230158WMZ,9.501369863,1,0.275599
sub-THU20231230159WMJ,13.12054795,1,0.133898
sub-THU20231230160DHL,12.37808219,1,0.074102
sub-THU20231230161ZJY,8.550684932,2,0.139706
sub-THU20240107162YDD,10.25205479,1,0.330372
sub-THU20240107163LJY,6.684931507,2,0.122557
sub-THU20240115LYJ,8.602739726,1,0.136028
sub-THU20240119175ZJZ,7.317808219,1,0.161272
sub-THU20240120178DKZ,10.88767123,1,0.119951
sub-THU20240120179DCB,8.101369863,1,0.162489
sub-THU20240120180WKY,7.739726027,2,0.239352
sub-THU20240120181XSM,6.564383562,2,0.095235
sub-THU20240121174WSQ,12.56438356,2,0.180857
sub-THU20240121187YJX,14.04383562,1,0.142604
sub-THU20240121188ZWK,13.94794521,1,0.089926
sub-THU20240123176QYB,9.747945205,1,0.075255
sub-THU20240123177XZY,11.36438356,2,0.084821
sub-THU20240123189DHB,11.69589041,1,0.190736
sub-THU20240123190HZR,12.96986301,1,0.145888
sub-THU20240123191LZF,12.50958904,1,0.186938
sub-THU20240124193XJY,12.07671233,1,0.133433
sub-THU20240124195LQF,10.61643836,2,0.116004
sub-THU20240124196ZSL,8.698630137,2,0.220358
sub-THU20240124197LMX,13.04931507,1,0.155282
sub-THU20240125198DH,11.22465753,2,0.142271
sub-THU20240125199DY,7.523287671,2,0.111764
sub-THU20240125200GTL,11.32876712,1,0.140518
sub-THU20240126205ZZH,13.3369863,1,0.075958
sub-THU20240126206LYX,13.7260274,2,0.145028
sub-THU20240127208GRZ,14.45205479,1,0.179921
sub-THU20240127210JTC,14.3260274,1,0.106643
sub-THU20240127211DMY,12.48767123,2,0.108036
sub-THU20240128214ZSJ,12.43835616,2,0.134076
sub-THU20240128216PSN,7.528767123,1,0.088285
sub-THU20240128217SJH,14.37534247,2,0.054955
sub-THU20240128218WHC,11.50958904,1,0.138678
sub-THU20240129221CXY,8.071232877,2,0.106337
sub-THU20240129222WTW,13.64931507,1,0.049858
sub-THU20240129223ZSH,12.18356164,1,0.109506
sub-THU20240129224LBZ,6.578082192,1,0.128662
sub-THU20240221225ZZC,12.89041096,2,0.048704
sub-THU20240221226HZQ,13.1890411,2,0.143265
sub-THU20240221227XRF,13.20821918,1,0.07402
sub-THU20240221228ZMZ,12.73972603,1,0.149937
sub-THU20240221229ZYT,12.90136986,2,0.079603
sub-THU20240221230YQS,12.24931507,1,0.14272
sub-THU20240222183CSY,7.087671233,2,0.281774
sub-THU20240222231YZY,9.22739726,2,0.184458
sub-THU20240222232WY,12.66027397,1,0.12143
sub-THU20240222233LBL,9.528767123,1,0.09638
sub-THU20240222234GMY,11.41369863,2,0.25215
sub-THU20240222235MYY,17.63561644,2,0.098797
sub-THU20240224186SZC,10.79178082,1,0.200751
sub-THU20240224236FJM,14.2109589,1,0.103287
sub-THU20240224237FJR,11.51780822,1,0.117742
sub-THU20240224238JYX,11.56712329,1,0.08034
sub-THU20240224239LLA,9.134246575,2,0.114697
sub-THU20240225240GSY,10.07123288,2,0.090022
sub-THU20240225242HZY,12.33424658,1,0.032624
sub-THU20240225243HHC,7.126027397,1,0.133506
sub-THU20240225244CSY,12.2630137,2,0.082708
sub-THU20240324245WY,7.263013699,1,0.189534
sub-THU20240324246WYJ,7.389041096,1,0.36171
sub-THU20240324247CZC,8.693150685,1,0.216688
sub-THU20240330248ZJQ,7.569863014,2,0.29487
sub-THU20240330249ZJY,7.569863014,2,0.122931
sub-THU20240330250TJZ,9.057534247,2,0.154667
sub-THU20240330251ZTX,9.619178082,1,0.17195
sub-THU20240330253LZY,8.197260274,1,0.072428
sub-THU20240413254ZZX,10.2,2,0.099801
sub-THU20240413255CJZ,9.832876712,2,0.110854
sub-THU20240413256JYX,7.235616438,2,0.156368
sub-THU20240420259ZY,13.24383562,1,0.194789
sub-THU20240420260WHT,9.101369863,1,0.30038
sub-THU20240420262ZYK,6.736986301,2,0.225648
sub-THU20240425263LRH,8.065753425,2,0.109658
sub-THU20240512264WEY,10.12328767,1,0.13331
sub-THU20240512266LXA,10.10136986,1,0.178972
sub-THU20240512268WSY,16.45205479,2,0.106232
sub-THU20240512269JYR,12.69041096,2,0.107518
sub-THU20240518151SYC,12.25753425,2,0.089542
sub-THU20240518272TWB,10.27123288,1,0.13322
sub-THU20240518273TCR,9.769863014,1,0.241206
sub-THU20240518275LZT,6.8,2,0.138905
sub-THU20240526277ZHB,11.47945205,1,0.127851
sub-THU20240526278LHX,10.12328767,2,0.208311
sub-THU20240526279QSY,13.12054795,1,0.088843
sub-THU20240526281FYF,10.69589041,1,0.132918
sub-THU20240526282FYR,10.69589041,1,0.052224
sub-THU20240602283MKY,9.424657534,2,0.131356
sub-THU20240602285JLM,10.02465753,1,0.140052
sub-THU20240602286KXT,14.43561644,1,0.102529
sub-THU20240602287GPY,12.95890411,2,0.071176
sub-THU20240602289LJR,15.41917808,2,0.097971
sub-THU20240615288LZX,7.6,2,0.108323
sub-THU20240615290JSM,9.967123288,2,0.119059
sub-THU20240615291FYX,14.49041096,2,0.058838
sub-THU20240615292LHC,9.690410959,1,0.222084
sub-THU20240615293ZSP,7.079452055,1,0.106473
sub-THU20240615295ZHR,11.44657534,1,0.106145
sub-THU20240622296LXX,18.87123288,2,0.125582
sub-THU20240622297CWS,18.72328767,1,0.101509
sub-THU20240622298TJY,20.30136986,2,0.057363
sub-THU20240622299ZQ,19.79726027,2,0.065236
sub-THU20240623301LYQ,18.84109589,2,0.111183
sub-THU20240629303ZLR,15.74794521,2,0.071516
sub-THU20240629304MYT,12.59726027,2,0.058784
sub-THU20240629305CYZ,11.78630137,1,0.166305
sub-THU20240629306WZS,11.29315068,1,0.09042
sub-THU20240629307LJR,9.704109589,1,0.193358
sub-THU20240629308ZAN,11.29315068,2,0.108999
sub-THU20240706310XMD,10.27123288,2,0.104872
sub-THU20240706311XYR,8.021917808,1,0.064714
sub-THU20240706312WXZ,8,1,0.101555
sub-THU20240706313WSZ,13.17534247,1,0.071165
sub-THU20240706314LXB,9.498630137,2,0.122067
sub-THU20240706316XZJ,10.19726027,1,0.127264
sub-THU20240710318ZKM,10.83287671,2,0.103154
sub-THU20240710319LZY,7.301369863,2,0.110929
sub-THU20240711300YXY,9.895890411,2,0.11132
sub-THU20240711320DJJ,18.19452055,2,0.059663
sub-THU20240712323BHY,18.29589041,1,0.113583
sub-THU20240712324LXM,14.82191781,2,0.118089
sub-THU20240712325LSY,8.767123288,1,0.083814
sub-THU20240712326WY,13.89863014,2,0.119507
sub-THU20240713327HLXY,13.51506849,2,0.078816
sub-THU20240713328CJY,16.42465753,2,0.060744
sub-THU20240713329QYC,14.27945205,2,0.10005
sub-THU20240713330HTR,11.3890411,1,0.067328
sub-THU20240713331FZT,11.6630137,1,0.06501
sub-THU20240720332WRK,8.142465753,1,0.102558
sub-THU20240720333PCR,7.652054795,1,0.09771
sub-THU20240720336XYS,8.005479452,1,0.118689
sub-THU20240726338LYS,18.03561644,1,0.118694
sub-THU20240729340YZS,9.657534247,1,0.07853
sub-THU20240729341TYT,10.84657534,1,0.192346
sub-THU20240729342CJW,10.72876712,1,0.048838
sub-THU20240730343LSY,11.36438356,2,0.125918
sub-THU20240730345YZY,10.55068493,2,0.10957
sub-THU20240731348LSH,15.69315068,1,0.113214
sub-THU20240731351BYF,7.610958904,1,0.106042
sub-THU20240803354WTY,7.531506849,2,0.137476
sub-THU20240803355LYC,11.85479452,1,0.094981
sub-THU20240803356HJR,8.539726027,1,0.099218
sub-THU20240803357LWC,12.17260274,1,0.096304
sub-THU20240808358JBR,9.205479452,1,0.118205
sub-THU20240808359ZTQ,10.31232877,1,0.214402
sub-THU20240808360RCY,11.75342466,1,0.131462
sub-THU20240808361GYJ,15.8739726,2,0.056382
sub-THU20240808362LJY,7.742465753,2,0.168958
sub-THU20240810363WZW,10.45205479,1,0.086672
sub-THU20240810364FXT,11.88493151,1,0.106284
sub-THU20240810365DH,20.71506849,1,0.053917
sub-THU20240810366JXX,21.10410959,2,0.058537
sub-THU20240810367JSY,20.43013699,1,0.102588
sub-THU20240812372LRJ,21.71232877,2,0.049748
sub-THU20240813373LXY,10.30958904,1,0.214768
sub-THU20240813374KWG,14.06575342,1,0.110562
sub-THU20240813375LC,19.88493151,1,0.078971
sub-THU20240813376GKY,20.97534247,1,0.054493
sub-THU20240813377YCG,22.02465753,1,0.147588
sub-THU20240813378YJY,15.68493151,2,0.084867
sub-THU20240814379LMH,16.19452055,1,0.090167
sub-THU20240826380ACR,18.70958904,2,0.076445
sub-THU20240826381LJC,21.06027397,1,0.092707
sub-THU20240826382LQH,8.539726027,1,0.098483
sub-THU20240826383SHY,8.528767123,2,0.169261
sub-THU20240826384YW,13.0109589,1,0.128866
sub-THU20240828385SXR,13.76986301,2,0.080164
sub-THU20240828386YXY,9.169863014,2,0.171547
sub-THU20240828387FYX,13.07945205,2,0.080699
sub-THU20240828388ZJH,8.501369863,2,0.123667
sub-THU20240831389WXY,11.5369863,2,0.068109
sub-THU20240831390ZJS,9.630136986,1,0.128547
sub-THU20240831391LHC,10.18630137,1,0.08574
sub-THU20240831392YQH,8.882191781,2,0.075051
sub-THU20240922398SJY,19.4,2,0.08396
sub-THU20240922399WYH,18.9890411,1,0.08125
sub-THU20240922400CLY,19.46575342,2,0.103435
sub-THU20240922401YY,17.90410959,2,0.088323
sub-THU20240924402FXR,20.36164384,2,0.113939
sub-THU20240924403CHY,20.38082192,2,0.085051
sub-THU20240924404XC,19.02191781,2,0.090907
sub-THU20240924405MCL,20.12876712,2,0.151526
sub-THU20240924406LXY,19.41369863,2,0.086947
sub-THU20240926407ZZH,20.54520548,2,0.095154
sub-THU20240926408HX,18.40547945,2,0.089855
sub-THU20240926409ZCH,20.06027397,2,0.074431
sub-THU20240926410LLX,19.59452055,2,0.090462
sub-THU20240926411FJN,19.84931507,2,0.059017
sub-THU20241020413CJL,18.83013699,1,0.120395
sub-THU20241020414ZH,19.73972603,1,0.073589
sub-THU20241020415LYZC,9.950684932,1,0.225328
sub-THU20241026417LCY,10.91232877,1,0.078072
sub-THU20241026418HYX,9.895890411,2,0.129212
sub-THU20241026419LFH,6.646575342,2,0.063093
sub-THU20241102420HAX,7.545205479,2,0.126015
sub-THU20241110422LWX,20.6109589,2,0.107062
sub-THU20241110423LHJ,19.11232877,2,0.080579
sub-THU20241110424GXL,18.19452055,2,0.068881
sub-THU20241116425YD,22.27945205,2,0.08904
sub-THU20241116426LH,21.03287671,1,0.131745
sub-THU20241116427ZYX,17.96986301,2,0.096704
sub-THU20241116428YKQ,20.26027397,1,0.103623
sub-THU20241123429LJY,7.742465753,1,0.150636
sub-THU20241123430ZSW,15.57534247,2,0.115558
sub-THU20241123431ZSQ,6.898630137,2,0.145121
sub-THU20241123433LX,7.915068493,1,0.226192
sub-THU20241201434TR,8.569863014,1,0.105273
sub-THU20241201435CJT,8.942465753,2,0.173943
sub-THU20241201436XW,8.531506849,2,0.135944
sub-THU20241201438GJJ,9.416438356,1,0.089413
sub-THU20241201440LMX,8.528767123,1,0.181212
sub-THU20241207441HZC,8.632876712,1,0.088921
sub-THU20241207442HZS,10.98356164,2,0.073361
sub-THU20241207443LZY,8.553424658,2,0.075986
sub-THU20241207446HCY,8.523287671,1,0.108048
sub-THU20241214447WHC,7.830136986,1,0.08916
sub-THU20241214448WZK,7.961643836,1,0.126083
sub-THU20241214449ZZQ,10.76712329,2,0.086014
sub-THU20241214450SNY,9.77260274,1,0.152946
sub-THU20241217452MY,19.68219178,2,0.0858
sub-THU20241217454LHQ,22.21917808,2,0.077592
sub-THU20241221437SSC,6.78630137,2,0.107423
sub-THU20241221455LP,20.63835616,1,0.059373
sub-THU20241221456HYN,8.345205479,1,0.141345
sub-THU20241224459PSW,20.84109589,1,0.177819
sub-THU20241224460SXM,18.89863014,1,0.131701
sub-THU20241224461XLX,19.50684932,2,0.122414
sub-THU20241225462WYH,22.70136986,2,0.095054
sub-THU20241225463RXY,22.37534247,2,0.07006
sub-THU20241225464DLH,23.10136986,2,0.093481
sub-THU20241225465MSQ,22.48219178,2,0.100904
sub-THU20241228466LM,20.73150685,2,0.085407
sub-THU20241228467LXJ,18.25479452,2,0.078524
sub-THU20241228468MXY,21.82739726,2,0.086056
sub-THU20241228469LLT,19.00547945,2,0.124611
sub-THU20241228470SJC,22.87945205,2,0.094018
sub-THU20241228471CLC,18.44657534,2,0.08266
sub-THU20241228472WD,20.66027397,2,0.15182
sub-THU20241228473LHY,22.6109589,2,0.141643
sub-THU20250104475MMY,7.854794521,2,0.095094
sub-THU20250104476ZZY,8.249315068,2,0.062697
sub-THU20250104477ZMY,6.561643836,1,0.119086
sub-THU20250104479GMR,8.534246575,1,0.152556
sub-THU20250104480YJQ,10.20821918,2,0.106599
sub-THU20250104481LJS,18.69041096,2,0.102955
sub-THU20250106482ZXX,22.41369863,2,0.071689
sub-THU20250106483LCC,22.20547945,2,0.131024
sub-THU20250106484LMY,20.55616438,2,0.040585
sub-THU20250106485GYT,18.10136986,2,0.069344
sub-THU20250106487ZSL,22.58630137,2,0.076054
sub-THU20250107488YDM,22,1,0.054562
sub-THU20250107489LJN,20.10684932,2,0.047709
sub-THU20250107490HYH,21.90684932,1,0.069621
sub-THU20250107491ZHQ,22.53424658,1,0.128507
sub-THU20250107492WST,22.23835616,2,0.096828
sub-THU20250107493XM,22.60821918,1,0.071201
sub-THU20250108494FM,18.99178082,2,0.074803
sub-THU20250108495XZL,7.210958904,2,0.092946
sub-THU20250108497XYL,8.482191781,1,0.261441
sub-THU20250108498CSH,22.95890411,1,0.08976
sub-THU20250108499XXY,10.18356164,2,0.116264
sub-THU20250108500ZXP,7.591780822,2,0.128795
sub-THU20250109502LXY,18.50684932,2,0.088377
sub-THU20250109503XZ,22.52876712,2,0.139846
sub-THU20250109504DYR,18.40547945,2,0.09949
sub-THU20250109505FHR,10.11232877,1,0.124551
sub-THU20250109506ZHL,8.830136986,1,0.154314
sub-THU20250109507LYX,12.63835616,2,0.094589
sub-THU20250109508LPW,7.106849315,1,0.109201
sub-THU20250110510WWJ,19.4109589,1,0.073258
sub-THU20250110511LYH,19.61917808,2,0.075749
sub-THU20250110512LYS,18.51780822,2,0.160496
sub-THU20250110514ZWQ,20.20547945,2,0.110555
sub-THU20250111515KCY,11.04931507,1,0.097689
sub-THU20250111517ZJJ,12.45479452,2,0.075593
sub-THU20250111518SY,22.34520548,2,0.048114
sub-THU20250111519XYJ,18.09589041,2,0.103816
sub-THU20250120521SRL,20.43287671,1,0.082207
sub-THU20250120524JYR,17.10684932,2,0.091052
sub-THU20250120525GP,20.24109589,1,0.056696
sub-THU20250120526WJR,22.89315068,2,0.157044
sub-THU20250121527LWT,10.70410959,2,0.067807
sub-THU20250121528HSQ,10.47671233,2,0.138282
sub-THU20250121529WHM,15.44109589,1,0.162061
sub-THU20250121531LCY,21.66575342,1,0.14132
sub-THU20250122534HJX,10.13150685,2,0.109178
sub-THU20250122535LMZ,11.65753425,1,0.205192
sub-THU20250122536LYY,22.55616438,2,0.063611
sub-THU20250122537ZXL,20.42191781,2,0.086646
sub-THU20250123538LSZ,12.16438356,1,0.221185
sub-THU20250123539LSC,16.93150685,1,0.101203
sub-THU20250123540ZL,23.44383562,1,0.077645
sub-THU20250124541LZC,7.24109589,1,0.196407
sub-THU20250124543YRQ,8.846575342,1,0.12942
sub-THU20250124544YZQ,6.791780822,2,0.076241
sub-THU20250125545HXY,10.23561644,1,0.114313
sub-THU20250125546LSC,10.62465753,2,0.114541
sub-THU20250125547WYF,6.597260274,1,0.193127
sub-THU20250125548WQX,10.39452055,1,0.117006
sub-THU20250125549WQZ,8.652054795,1,0.163578
sub-THU20250125550XZY,13.12328767,1,0.117622
sub-THU20250210552HSL,10.62191781,2,0.094682
sub-THU20250210553YKY,6.509589041,2,0.259187
sub-THU20250210554WF,21.59178082,2,0.108492
sub-THU20250210555YJR,20.04109589,2,0.064727
sub-THU20250211556ZYQ,9.219178082,1,0.218625
sub-THU20250211557HSY,10.31506849,1,0.098385
sub-THU20250211558YJH,10.42739726,2,0.167874
sub-THU20250211559HYL,10.26849315,1,0.186085
sub-THU20250211560QXY,8.054794521,2,0.155961
sub-THU20250213561SYN,7.457534247,1,0.120062
sub-THU20250213562ZYY,8.410958904,2,0.087231
sub-THU20250213564WXY,23.24931507,2,0.069798
sub-THU20250214566JYN,10.24383562,2,0.177673
sub-THU20250214567JYH,6.465753425,1,0.173329
sub-THU20250214568SXH,8.347945205,2,0.11745
sub-THU20250214569ZTY,11.24383562,2,0.115882
sub-THU20250214570WQX,21.5260274,2,0.056736
sub-THU20250222571LYP,14.26849315,1,0.145816
sub-THU20250222572WSX,11.28767123,1,0.178099
sub-THU20250222573DQ,22.08767123,1,0.058632
sub-THU20250301574LSY,8.632876712,2,0.159733
sub-THU20250301575GJD,11.24383562,1,0.236854
sub-THU20250308577BLY,8.254794521,2,0.148423
sub-THU20250308578SY,8.857534247,1,0.316814
sub-THU20250308579MQY,12.64931507,2,0.132067
sub-THU20250308581ZZC,8.04109589,2,0.05258
sub-THU20250315582ZHQ,6.84109589,2,0.076611
sub-THU20250315583LZY,11.21369863,2,0.103315
sub-THU20250315584DSY,9.115068493,2,0.192413
sub-THU20250315585WJC,18.26027397,1,0.06296
sub-THU20250315586CYJ,18.40821918,1,0.135639
sub-THU20250315587WML,21.90684932,1,0.058956
sub-THU20250322588ZNY,10.47671233,2,0.087705
sub-THU20250329589WZN,8.909589041,2,0.09771
sub-THU20250329590CXR,8.090410959,2,0.233524
sub-THU20250329591ZWX,8.95890411,2,0.225115
sub-THU20250419592WJ,19.24109589,1,0.068952
sub-THU20250419593HY,12.80273973,2,0.110481
sub-THU20250419595SZT,8.704109589,2,0.228745
sub-THU20250517597CYH,6.879452055,2,0.147685
sub-THU20250517598ZYF,6.879452055,1,0.095334
sub-THU20250524599JLY,9.753424658,1,0.16857
sub-THU20250607601ZYY,22.02191781,2,0.198945
sub-THU20250607602ZWZ,23.00547945,1,0.063259
sub-THU20250607603LYH,20.64383562,2,0.071203
sub-THU20250607604LYX,20.87123288,2,0.095037
sub-THU20250607605ZSQ,19.45753425,2,0.113439
sub-THU20250614606FZA,19.3369863,1,0.080005
sub-THU20250614607wl,18.87945205,1,0.043524
sub-THU20250621608LYF,18.8,1,0.056905
sub-THU20250621609YSM,21.33424658,2,0.068126
sub-THU20250621610LXF,21.39726027,2,0.077464
sub-THU20250621611LR,21.40273973,1,0.083799
sub-THU20250628612ZWJ,19.71232877,2,0.148353
sub-THU20250628613LQY,18.3260274,2,0.096174
sub-THU20250628614ZYT,19.53150685,2,0.087811
sub-THU20250628615WWX,19.01917808,2,0.114977
sub-THU20250628616MZQ,20.03835616,2,0.070715
sub-THU20250707619FYC,21.39452055,2,0.116426
sub-THU20250707620LPZ,19.95616438,1,0.295428
sub-THU20250707621LJL,22.69315068,2,0.110499
sub-THU20250707622JHY,20.83013699,2,0.075736
sub-THU20250708623WYR,21.4109589,2,0.114486
sub-THU20250708624LXY,19.78356164,2,0.066805
sub-THU20250708625LMN,20.75890411,2,0.055657
sub-THU20250708626LYY,20.94520548,2,0.12403
sub-THU20250708627LKX,19.17534247,2,0.071994
sub-THU20250709628ZSY,18.71780822,1,0.042136
sub-THU20250709629CRX,20.63835616,2,0.068616
sub-THU20250709631LJC,20.43561644,1,0.105776
sub-THU20250709632XYR,19.84931507,1,0.18119
sub-THU20250710630ZSC,14.17534247,1,0.123083
sub-THU20250710633WJX,21.29315068,2,0.083468
sub-THU20250710634ZYM,15.15342466,1,0.072882
sub-THU20250711637YAC,11.44109589,2,0.068685
sub-THU20250711638YZR,8.44109589,1,0.182862
sub-THU20250711639LJJ,20.50410959,1,0.113479
sub-THU20250711640CYX,19.70684932,2,0.077228
sub-THU20250711641CSX,21.10410959,1,0.094612
sub-THU20250714642SQ,19.7890411,1,0.13766
sub-THU20250714644LJZ,20.50136986,1,0.064432
sub-THU20250714645XX,20.47945205,1,0.049169
sub-THU20250714646CXN,21.14246575,1,0.081969
sub-THU20250714648XZH,20.74794521,1,0.051604
sub-THU20250715648MH,20.39178082,2,0.077506
sub-THU20250715649ZZY,9.715068493,1,0.15766
sub-THU20250715650ZSZ,8.791780822,1,0.08341
sub-THU20250715651HYY,19.09041096,2,0.137936
sub-THU20250715652LM,18.85205479,2,0.200304
sub-THU20250716653ZCX,12.6739726,2,0.059654
sub-THU20250716654ZKS,9.753424658,1,0.161399
sub-THU20250716655SHC,8.257534247,1,0.102306
sub-THU20250716656SHY,8.257534247,1,0.125926
sub-THU20250717657LZ,19.45479452,1,0.041908
sub-THU20250717658ZR,21.59452055,2,0.114147
sub-THU20250717659ZYY,22.04109589,2,0.06187
sub-THU20250717660DY,21.38082192,2,0.114623
sub-THU20250717661HYC,20.66027397,1,0.065272
sub-THU20250717662SMY,21.51506849,2,0.163815
sub-THU20250718643CJY,19.40821918,1,0.075735
sub-THU20250718663LXY,21.61643836,2,0.094086
sub-THU20250718664XRT,20.92876712,2,0.075409
sub-THU20250718665WXY,21.19452055,2,0.114615
sub-THU20250721666CN,20.27123288,1,0.115425
sub-THU20250721667SJX,20.4109589,1,0.075464
sub-THU20250721668TNC,22.16986301,1,0.149648
sub-THU20250722669CSY,18.90136986,2,0.152546
sub-THU20250722670LZJ,20.15890411,1,0.051043
sub-THU20250722671HYX,18.73150685,2,0.076522
sub-THU20250722673ZJY,22.70684932,1,0.117955
sub-THU20250723674DYJ,20.19178082,2,0.084166
sub-THU20250723675ZJL,20.11232877,2,0.055392
sub-THU20250723676YWL,21.2,1,0.087976
sub-THU20250723677ZYN,18.95890411,2,0.075258
sub-THU20250724678JRZ,13.33972603,1,0.131782
sub-THU20250724679MZL,20.91780822,1,0.124689
sub-THU20250724680LXY,18.58630137,2,0.123877
sub-THU20250724681YHZ,19.01917808,2,0.053683
sub-THU20250724682YWY,19.36712329,2,0.14383
sub-THU20250725683LYB,21.42191781,1,0.100545
sub-THU20250725684LC,12.83013699,1,0.103439
sub-THU20250725685NMY,20.33150685,2,0.072016
sub-THU20250804686MYY,19.31780822,1,0.05457
sub-THU20250804687JXY,18.89589041,2,0.065228
sub-THU20250804688ZYJ,19.49863014,2,0.060669
sub-THU20250804689ZHW,19.36986301,1,0.060152
sub-THU20250805690YMH,19.56164384,1,0.160443
sub-THU20250805691YCY,21.46575342,2,0.082693
sub-THU20250805692XYH,19.19452055,2,0.071521
sub-THU20250805693LKX,22.76986301,2,0.06972
sub-THU20250805694TYH,21.47123288,2,0.054553
sub-THU20250806695LPN,18.84109589,2,0.070435
sub-THU20250806696LJ,20.06575342,2,0.097793
sub-THU20250806697WJS,20.15342466,1,0.091455
sub-THU20250806698LXT,19.33424658,2,0.070125
sub-THU20250807700SMC,9.038356164,1,0.139895
sub-THU20250807701TYH,8.224657534,2,0.12424
sub-THU20250807702LMQ,19.09589041,2,0.111752
sub-THU20250807703WYH,21.85205479,1,0.100625
sub-THU20250811704ZCJ,20.05479452,1,0.105569
sub-THU20250811706XJW,13.40273973,1,0.056842
sub-THU20250812707GJB,10.87123288,1,0.130344
sub-THU20250812708LGJ,20.83287671,1,0.102119
sub-THU20250812709ZKH,21.98082192,1,0.072464
sub-THU20250812710DKK,22.25479452,1,0.05656
sub-THU20250813711KY,20.49315068,2,0.085241
sub-THU20250813712PWJ,21.89589041,1,0.11229
sub-THU20250813713LW,22.85753425,2,0.158239
sub-THU20250814714HY,19.4630137,1,0.097272
sub-THU20250814715WLM,19.86575342,1,0.068286
sub-THU20250814716ZCF,20.64931507,1,0.1131
sub-THU20250814717BJC,20.49041096,1,0.096199
sub-THU20250815718HZW,11.5890411,1,0.215261
sub-THU20250815719LZT,19.2,1,0.096916
sub-THU20250815720NX,19.84109589,2,0.127361
sub-THU20250815721YCJ,21.50410959,2,0.097092
sub-THU20250818722LXH,19.66575342,1,0.066615
sub-THU20250818723ZBW,19.42739726,1,0.071319
sub-THU20250818724LLS,20.34520548,1,0.073707
sub-THU20250818725CHW,22.99726027,1,0.063945
sub-THU20250819726CJF,20.93424658,1,0.100387
sub-THU20250819727PYH,21.58356164,1,0.109191
sub-THU20250819728LZQ,20.52876712,2,0.082177
sub-THU20250819729LXX,22.85205479,2,0.095284
sub-THU20250820731WYZ,18.42465753,2,0.069453
sub-THU20250820732ZWY,20.69863014,1,0.058433
sub-THU20250820733LNK,22.48767123,1,0.071877
sub-THU20250821734ZGF,21.11232877,1,0.112626
sub-THU20250821735WX,21.06575342,1,0.073951
sub-THU20250821736QHY,20.41917808,1,0.087823
sub-THU20250821737WJY,20.00821918,1,0.062336
sub-THU20250822738ZYR,20.77534247,1,0.062148
sub-THU20250822739HLX,20.02739726,2,0.090145
sub-THU20250822740CJR,10.89589041,1,0.222253
sub-THU20250822741CMY,8.523287671,1,0.154986
sub-THU20250825742LY,18.15342466,2,0.111704
sub-THU20250825743ZZC,19.02465753,1,0.057693
sub-THU20250825744ZSY,20.34520548,2,0.077783
sub-THU20250825745WQK,20.5890411,2,0.075383
sub-THU20250826746GC,19.67671233,2,0.094873
sub-THU20250826747ZJR,20.06849315,2,0.073666
sub-THU20250826748TXY,20.70684932,2,0.079359
sub-THU20250827749YY,19.05479452,2,0.048985
sub-THU20250827750GLX,19.74520548,2,0.07375
sub-THU20250828751ZEN,11.25479452,2,0.079313
sub-THU20250828752XXC,19.04109589,1,0.125846
sub-THU20250828753HTX,21.04109589,1,0.119759
sub-THU20250828754ZKH,18.86027397,2,0.07619
sub-THU20250828755ZYT,18.81643836,2,0.123231
sub-THU20250829756YCX,19.49863014,2,0.049901
sub-THU20250829757ZBE,19.9890411,2,0.058985
sub-THU20250829758XYQ,19.08219178,2,0.086646
sub-THU20250829759JZC,18.75342466,1,0.069062
sub-THU20250921760HXH,17.69863014,1,0.079173
sub-THU20250921761XYX,14.24657534,2,0.127611
sub-THU20250921762GS,15.29041096,1,0.11159
sub-THU20250921763HXY,18.4630137,1,0.070474
sub-THU20250921764HS,14.08493151,1,0.108903
sub-THU20250921765WZR,17.79178082,1,0.123477
sub-THU20250925766WJB,18.21369863,1,0.095282
sub-THU20250925767YJH,18.77260274,2,0.112017
sub-THU20250927768SKY,17.7260274,2,0.086149
sub-THU20250927769XYJ,11.90684932,1,0.12885
sub-THU20250927770SK,12.23013699,1,0.126229
sub-THU20250927772WJZX,14.90410959,1,0.185696