subID,interview_age,sex,meanFD,site
HCD0008117,192,0,0.108276805137524,Harvard
HCD0022919,117,0,0.171653683120923,UCLA
HCD0026119,182,0,0.140235938576647,Harvard
HCD0029630,221,0,0.0806277545735215,UCLA
HCD0031617,229,1,0.0895670963243022,Harvard
HCD0040113,112,1,0.180802495158139,UMinn
HCD0041822,209,1,0.067736765777567,Harvard
HCD0042420,220,1,0.0737416093494654,UCLA
HCD0051825,218,0,0.10910322566278,Harvard
HCD0059235,160,0,0.127296171784572,Harvard
HCD0075435,134,0,0.175373230849844,WashU
HCD0110411,181,0,0.127699012440692,WashU
HCD0111716,147,0,0.127061904617546,Harvard
HCD0114419,180,0,0.140509669049692,Harvard
HCD0118528,166,0,0.171885337402045,UMinn
HCD0119429,191,1,0.172308160155114,WashU
HCD0121719,165,0,0.105057318902571,UCLA
HCD0124725,164,1,0.153859548071377,UMinn
HCD0125424,213,1,0.103074053774785,UMinn
HCD0128935,198,0,0.0825700324504424,Harvard
HCD0130821,170,1,0.142751874883205,UMinn
HCD0135831,141,1,0.167241600187238,Harvard
HCD0143426,168,0,0.105020031779099,UCLA
HCD0145733,238,0,0.0894243781124908,Harvard
HCD0146331,156,0,0.219994157467468,UCLA
HCD0146937,167,0,0.0753621267793168,UCLA
HCD0152932,131,0,0.200276089863371,WashU
HCD0154431,130,1,0.142822191464071,Harvard
HCD0174235,181,1,0.106688191792261,UMinn
HCD0182941,199,0,0.109289603614697,Harvard
HCD0183539,221,1,0.0980817183024716,Harvard
HCD0185442,187,1,0.120798866755449,UMinn
HCD0185644,142,1,0.125663741022894,Harvard
HCD0193845,106,0,0.162421091541028,UMinn
HCD0197045,218,0,0.150783780073852,WashU
HCD0203620,260,0,0.188482132580614,UMinn
HCD0215829,210,1,0.103032093445585,Harvard
HCD0224123,165,0,0.142108212278596,UCLA
HCD0225529,250,0,0.07296587220971,Harvard
HCD0232223,165,0,0.114568530644206,Harvard
HCD0236635,205,1,0.156208059740234,WashU
HCD0244230,234,1,0.0639526980151137,Harvard
HCD0245636,104,0,0.205715211151283,UMinn
HCD0248440,208,1,0.104496748018188,UMinn
HCD0259243,245,1,0.0941076614891387,UMinn
HCD0259546,108,0,0.341839941083217,UCLA
HCD0263032,104,0,0.189512545880634,Harvard
HCD0267242,253,0,0.0889138080537819,WashU
HCD0271031,256,0,0.130882953966831,WashU
HCD0277447,125,1,0.18732088053595,WashU
HCD0288250,120,1,0.231300009277429,UCLA
HCD0294245,202,0,0.159310563828393,UMinn
HCD0295146,146,1,0.221389139409111,UCLA
HCD0298758,196,0,0.143807218263126,UMinn
HCD0311118,194,0,0.0978416828481006,UCLA
HCD0311320,249,1,0.175324890710789,UCLA
HCD0328842,241,1,0.246147027583949,WashU
HCD0330021,177,1,0.111639424119142,UCLA
HCD0338441,250,0,0.0884073785632317,WashU
HCD0338744,161,0,0.122314647552229,Harvard
HCD0343333,239,0,0.111023074487692,Harvard
HCD0353538,120,0,0.117465045385809,Harvard
HCD0360838,203,1,0.0833616357583201,UMinn
HCD0370639,205,0,0.104396038466541,Harvard
HCD0372542,262,0,0.157326862924471,WashU
HCD0378150,261,1,0.126682275901608,Harvard
HCD0383143,97,1,0.137138645975531,UMinn
HCD0392649,201,1,0.111373870125741,Harvard
HCD0394350,243,0,0.142618855781011,Harvard
HCD0394754,177,1,0.107920515796455,Harvard
HCD0401725,260,1,0.14077291652056,WashU
HCD0403224,205,0,0.149866833071917,Harvard
HCD0406230,108,0,0.221105418923301,UMinn
HCD0418338,225,0,0.118088477473092,WashU
HCD0425335,136,1,0.151035830264739,Harvard
HCD0429343,127,0,0.116859051181238,UMinn
HCD0461844,205,1,0.075586014200734,Harvard
HCD0469658,202,1,0.104847057896841,Harvard
HCD0471746,196,0,0.174297877590322,UCLA
HCD0476352,138,1,0.106635312463393,Harvard
HCD0478356,167,0,0.149973060068459,UCLA
HCD0486254,213,0,0.121491160882483,UCLA
HCD0498261,208,1,0.177313180401256,UMinn
HCD0498968,176,1,0.14077550174718,Harvard
HCD0504735,187,1,0.107694388414274,Harvard
HCD0505838,134,1,0.174245044658689,WashU
HCD0514738,188,0,0.0669695700679359,Harvard
HCD0515538,186,0,0.0748900641248487,UMinn
HCD0519849,100,1,0.248475662603458,WashU
HCD0520329,110,1,0.161639668859006,UMinn
HCD0526644,178,1,0.0980957379862069,UCLA
HCD0529751,147,0,0.0965896940169478,UMinn
HCD0534138,107,0,0.187681243086927,Harvard
HCD0536142,116,0,0.141033445921583,Harvard
HCD0541539,180,0,0.0942667016243003,Harvard
HCD0551239,165,0,0.177776788433816,Harvard
HCD0555146,157,1,0.134770645400706,UCLA
HCD0559760,225,0,0.0971920270588727,Harvard
HCD0571649,162,0,0.112358608613619,UMinn
HCD0576558,162,0,0.0995482426151548,Harvard
HCD0577661,190,1,0.175244294489637,UMinn
HCD0581652,163,0,0.0967841391606953,UMinn
HCD0583555,103,1,0.249213031314301,Harvard
HCD0584860,222,1,0.140991459884522,WashU
HCD0605135,112,0,0.148315367903751,Harvard
HCD0605438,102,1,0.120558239468568,Harvard
HCD0614035,254,1,0.118728888672313,WashU
HCD0614237,228,0,0.151275613658079,UCLA
HCD0616342,167,0,0.0994589145704968,Harvard
HCD0626446,258,0,0.0653587797675865,UCLA
HCD0627549,183,1,0.151329204505856,UCLA
HCD0628854,202,1,0.0591569859547687,UMinn
HCD0630134,222,1,0.113957835450744,UCLA
HCD0641341,166,1,0.134753003491255,WashU
HCD0643345,177,1,0.0888945952263925,Harvard
HCD0644044,208,0,0.0844137232750018,WashU
HCD0662955,192,0,0.0951191623828256,Harvard
HCD0664656,122,1,0.173354223675151,Harvard
HCD0667763,130,0,0.0811842258492749,Harvard
HCD0676764,249,0,0.0978871105199654,UCLA
HCD0684460,113,0,0.119549974287035,Harvard
HCD0692964,242,1,0.12542369467404,Harvard
HCD0697772,233,1,0.105910331575592,Harvard
HCD0703943,124,1,0.120838698303852,UMinn
HCD0717954,169,0,0.183495201040661,UMinn
HCD0721440,246,1,0.106162145840377,WashU
HCD0743955,190,1,0.105007275094122,Harvard
HCD0752855,240,0,0.0694984408607211,UCLA
HCD0755962,247,1,0.13216159171974,UMinn
HCD0758867,140,0,0.156062111552709,UCLA
HCD0772255,144,0,0.160135103115424,Harvard
HCD0772760,157,0,0.147310441118856,UMinn
HCD0777265,157,0,0.121944118483061,UCLA
HCD0784060,204,0,0.105959115515331,UCLA
HCD0788674,251,0,0.0679941112042296,UCLA
HCD0789272,209,0,0.129521482288077,Harvard
HCD0796067,116,0,0.255299341341613,UCLA
HCD0797877,164,0,0.186369935075956,WashU
HCD0798273,141,0,0.138937887725898,UMinn
HCD0801539,158,1,0.156040504558755,UMinn
HCD0802440,168,1,0.130977397594289,UCLA
HCD0804545,120,1,0.151621380299351,WashU
HCD0806751,259,0,0.186181716101333,Harvard
HCD0808654,126,0,0.149403970017561,Harvard
HCD0810035,212,1,0.084461510747607,UCLA
HCD0812241,203,1,0.120593274477489,UCLA
HCD0812746,262,0,0.0942298383273164,UMinn
HCD0822850,188,0,0.129557883427089,WashU
HCD0842250,113,0,0.338135641840126,Harvard
HCD0848060,189,1,0.127126467216099,Harvard
HCD0848969,143,0,0.160500115380375,UMinn
HCD0855562,133,0,0.204112437179722,UMinn
HCD0857566,221,1,0.1435397392151,Harvard
HCD0858467,121,0,0.101011320510929,WashU
HCD0869371,122,1,0.21406933938779,Harvard
HCD0889579,124,0,0.136500623473039,UMinn
HCD0891566,145,1,0.117397427507282,Harvard
HCD0899582,254,1,0.0530199199178837,Harvard
HCD0902343,116,0,0.155481595769006,UMinn
HCD0904650,138,1,0.12058571773839,UCLA
HCD0906250,108,0,0.199750161845199,UMinn
HCD0919562,256,0,0.117453027477995,UCLA
HCD0921145,104,1,0.202809355165414,Harvard
HCD0925759,154,0,0.17211289354464,UCLA
HCD0933051,149,0,0.196078446102352,Harvard
HCD0945967,253,0,0.0910980028944033,Harvard
HCD0946868,127,1,0.162382148283645,UCLA
HCD0947365,152,1,0.270848893103708,UMinn
HCD0956871,174,1,0.139344293888897,UCLA
HCD0957368,222,1,0.114705589397451,UCLA
HCD0960155,146,1,0.161146244264541,UMinn
HCD0960458,236,0,0.0744253117689032,UMinn
HCD0968878,242,0,0.133865760014683,UMinn
HCD0969072,160,0,0.0946486472234185,Harvard
HCD0979378,119,0,0.17559655088915,Harvard
HCD0988682,145,0,0.290868751564995,WashU
HCD0995477,114,1,0.231518937425815,UMinn
HCD0997380,140,1,0.229758562702613,WashU
HCD1003617,221,0,0.154994770934301,WashU
HCD1007221,227,1,0.141002144173128,Harvard
HCD1007423,102,1,0.165197633039937,UMinn
HCD1010412,202,0,0.0880677678151278,WashU
HCD1012719,235,0,0.118166954814175,UMinn
HCD1013014,256,0,0.0480030167408153,UMinn
HCD1016929,262,1,0.193549244801054,UCLA
HCD1017931,213,1,0.181940333508557,Harvard
HCD1022722,99,0,0.134162370324982,UCLA
HCD1029837,147,1,0.154692436072534,UCLA
HCD1036834,251,1,0.11426707159333,Harvard
HCD1039032,168,1,0.115439985848631,Harvard
HCD1042223,190,0,0.138362498573277,UMinn
HCD1057337,233,1,0.0843720381237462,Harvard
HCD1071634,242,1,0.122306310506764,Harvard
HCD1071836,156,0,0.152438401605523,UMinn
HCD1093139,188,0,0.124287862277813,UMinn
HCD1103419,116,0,0.132533687930722,Harvard
HCD1108833,109,0,0.0818732369318009,Harvard
HCD1111822,190,0,0.0791944071571064,UMinn
HCD1113220,139,1,0.166866884465738,WashU
HCD1119030,121,0,0.134185157641106,UMinn
HCD1120015,168,1,0.140543799817367,WashU
HCD1123526,109,0,0.218407075799824,UCLA
HCD1128738,258,1,0.0792376474802132,WashU
HCD1129235,116,0,0.150537066096279,WashU
HCD1131222,230,1,0.138303958422789,WashU
HCD1156036,254,1,0.0988230052333225,WashU
HCD1162334,126,0,0.120895916121461,UCLA
HCD1168245,222,1,0.16932024393681,Harvard
HCD1175343,254,0,0.131298938592025,UMinn
HCD1181843,184,1,0.131966457953244,WashU
HCD1187653,148,0,0.231883925953522,WashU
HCD1196553,100,1,0.178081588256347,Harvard
HCD1197757,237,0,0.122449416730653,Harvard
HCD1202320,230,0,0.164911053237168,Harvard
HCD1205326,184,1,0.134007268088868,Harvard
HCD1215632,120,1,0.223157095358445,WashU
HCD1223833,232,1,0.145141039664414,Harvard
HCD1223934,152,1,0.156867837444657,UMinn
HCD1227134,174,1,0.154873629028171,Harvard
HCD1227740,120,1,0.139632235282752,UCLA
HCD1231832,114,0,0.240010261986635,WashU
HCD1237844,262,1,0.128785118951133,UMinn
HCD1239343,175,0,0.140128628369015,UCLA
HCD1240530,167,0,0.130277504168228,Harvard
HCD1262136,109,1,0.208975549805448,UCLA
HCD1267348,144,1,0.14791342570505,Harvard
HCD1282142,130,1,0.154880314664772,WashU
HCD1285956,229,1,0.135496270677905,UCLA
HCD1289358,156,0,0.111813499956034,Harvard
HCD1293349,111,0,0.135558077817894,WashU
HCD1294755,102,1,0.217188251078923,UMinn
HCD1305936,170,1,0.137527600750337,WashU
HCD1315737,148,0,0.167085016676224,UMinn
HCD1327744,128,1,0.126371668333105,UMinn
HCD1328241,168,1,0.152408067385073,UCLA
HCD1342033,216,0,0.112693577852554,UCLA
HCD1346849,162,0,0.130786316013038,Harvard
HCD1350638,147,0,0.162699960019842,Harvard
HCD1361441,167,0,0.101848321419218,UMinn
HCD1363546,191,1,0.0878148746945561,UCLA
HCD1371848,179,1,0.153585799388082,UMinn
HCD1375755,128,1,0.184895506691517,Harvard
HCD1376252,257,1,0.0577047822111198,Harvard
HCD1380849,177,1,0.167591708187428,WashU
HCD1387055,147,1,0.140736891501331,UMinn
HCD1396662,131,1,0.0981884123951481,Harvard
HCD1400728,153,1,0.0904274724350722,Harvard
HCD1404231,173,0,0.109848086076876,UMinn
HCD1409342,240,0,0.0753530177757455,Harvard
HCD1410933,159,1,0.191151168055644,Harvard
HCD1411632,97,1,0.20950449441371,WashU
HCD1411935,169,0,0.119451425916019,Harvard
HCD1433743,154,1,0.167327350562459,UMinn
HCD1435646,172,1,0.0700390667439031,Harvard
HCD1445245,183,1,0.100616761740835,UMinn
HCD1456048,212,0,0.0910704081946985,UMinn
HCD1462548,230,1,0.0672048937203942,WashU
HCD1464653,179,0,0.0752765797007792,UCLA
HCD1477056,172,1,0.126994177866156,UMinn
HCD1479262,128,1,0.138028907682025,UCLA
HCD1479969,155,1,0.115786389243241,WashU
HCD1490048,193,1,0.112790775728127,UMinn
HCD1491454,246,0,0.138997585257184,WashU
HCD1493761,228,0,0.136082245979133,UCLA
HCD1496767,125,1,0.183255788976878,UMinn
HCD1500025,218,0,0.1091860594634,Harvard
HCD1501936,249,1,0.0762357225657109,UMinn
HCD1502635,227,0,0.207451192877412,UCLA
HCD1504437,194,0,0.104551069560577,Harvard
HCD1510432,239,0,0.119239935327737,UMinn
HCD1514945,115,0,0.174283036982774,UMinn
HCD1518448,117,1,0.134589127476653,UMinn
HCD1522338,198,0,0.169419807728637,UMinn
HCD1527045,203,0,0.150173269856604,Harvard
HCD1534244,118,0,0.223967426259037,Harvard
HCD1543851,253,0,0.0682416507530823,UMinn
HCD1553551,156,0,0.114713368979026,WashU
HCD1557054,248,0,0.156085580401889,Harvard
HCD1568867,111,0,0.189782402685022,WashU
HCD1571351,233,0,0.105658927431446,Harvard
HCD1578365,169,1,0.122854274892822,UMinn
HCD1581455,142,1,0.141225658200152,UCLA
HCD1590860,113,1,0.194231784954633,Harvard
HCD1594767,149,0,0.0951352056196868,UMinn
HCD1609148,255,0,0.148822968244544,Harvard
HCD1610436,158,0,0.125848076306853,UCLA
HCD1612844,212,0,0.0820571227883484,WashU
HCD1617450,158,0,0.184023610300003,UMinn
HCD1622342,131,0,0.164579832118025,Harvard
HCD1623142,226,1,0.133889631932957,WashU
HCD1626653,167,0,0.0849484951949308,UMinn
HCD1630139,177,1,0.160386765290352,Harvard
HCD1631646,248,0,0.156827377937454,Harvard
HCD1633751,214,0,0.15385595664092,UCLA
HCD1643855,260,1,0.124100968753584,WashU
HCD1646154,145,1,0.131886035745313,Harvard
HCD1647863,141,0,0.131383285332148,WashU
HCD1656359,263,0,0.0566237407551601,WashU
HCD1658969,178,1,0.136561932045608,UMinn
HCD1664762,166,1,0.0916485451682243,UCLA
HCD1668164,227,1,0.151974759706299,Harvard
HCD1681257,197,0,0.10488012086064,Harvard
HCD1685164,158,0,0.17138158250335,Harvard
HCD1686267,211,1,0.0955939701089612,Harvard
HCD1701338,250,1,0.110179787615754,Harvard
HCD1712444,245,1,0.153182883028567,WashU
HCD1714852,192,0,0.168828130770693,UMinn
HCD1723651,146,0,0.131278719940738,UMinn
HCD1729562,196,1,0.0955580434553527,UMinn
HCD1742958,165,0,0.12349093250995,UMinn
HCD1749467,151,0,0.0870582169666433,UMinn
HCD1749770,247,0,0.132717903933838,Harvard
HCD1756060,165,0,0.137239966519091,UMinn
HCD1756262,233,1,0.0879491613009272,WashU
HCD1757062,213,1,0.109819130236016,UMinn
HCD1759571,127,1,0.178258296275398,WashU
HCD1761356,224,1,0.103573848632299,WashU
HCD1762661,212,0,0.0823984580978492,WashU
HCD1765970,127,0,0.179662394364234,UMinn
HCD1778070,228,1,0.266583647759122,WashU
HCD1783366,187,0,0.104636127592875,Harvard
HCD1785572,157,0,0.13136966639955,Harvard
HCD1787677,125,1,0.236502438062279,WashU
HCD1791163,165,1,0.109532538820827,UCLA
HCD1794977,195,1,0.0609582100898309,UMinn
HCD1796577,256,1,0.179113239247333,UCLA
HCD1801140,204,1,0.146060107825816,UMinn
HCD1807051,180,0,0.116141144204242,UMinn
HCD1812044,163,0,0.0989121699848684,Harvard
HCD1826661,250,0,0.0824031933333153,UMinn
HCD1838567,224,1,0.15324797862754,Harvard
HCD1842558,172,0,0.148246416380936,Harvard
HCD1845160,117,0,0.121401724641846,Harvard
HCD1847972,249,0,0.107225750060152,WashU
HCD1854767,262,1,0.0752728943593011,UMinn
HCD1855365,207,0,0.117682277317259,Harvard
HCD1856468,165,0,0.135050584436275,WashU
HCD1863465,179,1,0.111440338196801,WashU
HCD1870159,120,1,0.184054035338126,UMinn
HCD1871969,203,0,0.0957714458017078,Harvard
HCD1872971,198,0,0.087502063291878,Harvard
HCD1880162,179,1,0.148211588363101,WashU
HCD1881164,203,0,0.0343077004004628,Harvard
HCD1886275,129,1,0.156176884265225,WashU
HCD1886477,178,0,0.166486727403404,Harvard
HCD1900142,175,1,0.129397359479486,Harvard
HCD1903350,133,0,0.107435056337171,UMinn
HCD1905152,185,1,0.162201187566443,UCLA
HCD1906457,97,0,0.212805339770545,Harvard
HCD1925461,250,0,0.094455468046539,WashU
HCD1928871,130,0,0.143336085662593,WashU
HCD1930353,172,1,0.0969299404908963,WashU
HCD1934159,229,1,0.116500912708159,Harvard
HCD1939068,227,0,0.113411753716131,Harvard
HCD1946469,160,1,0.158392476508702,WashU
HCD1946873,200,1,0.135939492804246,UMinn
HCD1948170,155,0,0.157351443370796,Harvard
HCD1949879,242,1,0.155544340691809,UCLA
HCD1950056,185,1,0.165854703642103,WashU
HCD1957171,183,0,0.134944029724633,Harvard
HCD1961263,262,0,0.168822925375737,UMinn
HCD1964269,197,1,0.171129659728515,UCLA
HCD1969986,219,0,0.108572488986524,Harvard
HCD1976377,183,0,0.125887622920131,UCLA
HCD1978987,194,0,0.170726756950269,Harvard
HCD1983879,199,1,0.182769790600754,Harvard
HCD1986784,200,1,0.17332681829759,Harvard
HCD1988687,240,0,0.130742811063164,UMinn
HCD1992375,190,0,0.128542910639337,UMinn
HCD1994884,207,0,0.0543077094062109,Harvard
HCD2000111,183,1,0.099202225249109,UCLA
HCD2001517,152,1,0.171650519363691,Harvard
HCD2001719,238,0,0.140712748347701,WashU
HCD2008329,151,0,0.141721559421125,UCLA
HCD2030726,131,1,0.176143519802033,UMinn
HCD2035635,247,0,0.0989805612258899,UCLA
HCD2046842,198,1,0.0741994256323421,UCLA
HCD2046943,179,0,0.119409767684098,Harvard
HCD2051532,252,0,0.0771420642328208,UMinn
HCD2059245,244,1,0.110079673909384,WashU
HCD2062537,157,1,0.123646497821356,UCLA
HCD2063034,191,0,0.137634145735724,Harvard
HCD2068145,168,1,0.18725975240816,WashU
HCD2073340,128,1,0.133122684490229,Harvard
HCD2082947,246,1,0.0848330402908401,WashU
HCD2093245,257,1,0.0990492482987844,Harvard
HCD2095148,131,0,0.355929215793802,WashU
HCD2099257,100,0,0.116770185222513,Harvard
HCD2105125,231,0,0.110199113662102,UCLA
HCD2109234,185,0,0.0891548418536348,WashU
HCD2109638,197,1,0.0882839076646507,Harvard
HCD2112829,228,0,0.0869723949171702,Harvard
HCD2122125,246,1,0.0926072539879761,WashU
HCD2133433,152,0,0.285838803750751,UCLA
HCD2134031,217,0,0.0873015499219965,UCLA
HCD2136540,254,0,0.11702966563925,UMinn
HCD2140026,163,0,0.221108862799998,UMinn
HCD2140127,191,1,0.202038449909795,Harvard
HCD2155140,248,1,0.0808606874860301,Harvard
HCD2155645,108,0,0.206629842186034,WashU
HCD2155746,100,0,0.116872296713077,UMinn
HCD2156142,182,0,0.0771118371982884,Harvard
HCD2163644,131,1,0.193260878189563,Harvard
HCD2164242,121,1,0.099245866037435,WashU
HCD2174649,197,0,0.0898152959232318,UMinn
HCD2181848,184,1,0.168486632564457,Harvard
HCD2203933,219,0,0.0753812916653778,UCLA
HCD2207840,214,0,0.11334908025825,Harvard
HCD2211932,101,0,0.236933071070166,UMinn
HCD2216437,196,0,0.129823088744827,WashU
HCD2220428,161,0,0.108731684781039,UMinn
HCD2223131,179,1,0.143636644080994,UCLA
HCD2229547,115,0,0.175095449461574,Harvard
HCD2236140,121,0,0.167086332033888,WashU
HCD2239247,168,1,0.182446347973764,UCLA
HCD2240030,121,1,0.174089506923658,WashU
HCD2254243,117,1,0.151716062861241,Harvard
HCD2256651,183,0,0.156604875282502,UMinn
HCD2264549,112,0,0.202728907564722,UCLA
HCD2286155,184,0,0.0907346096488278,UCLA
HCD2300426,140,0,0.123226350841497,Harvard
HCD2301428,164,0,0.19041405664811,UCLA
HCD2304737,160,0,0.096640097237586,WashU
HCD2310328,250,0,0.174668795188471,WashU
HCD2311633,147,0,0.195601841988624,UMinn
HCD2335344,172,1,0.167123395385873,Harvard
HCD2336346,244,1,0.145250679104282,UCLA
HCD2339049,227,0,0.0994077226734046,Harvard
HCD2342745,144,0,0.0743381731500398,Harvard
HCD2344244,116,0,0.16226976823185,UCLA
HCD2353245,233,1,0.0717130658545911,Harvard
HCD2365454,229,1,0.184704992655431,Harvard
HCD2370952,104,0,0.155160563407344,UCLA
HCD2378463,168,1,0.133481846610919,UMinn
HCD2380753,106,0,0.119565195949317,Harvard
HCD2383658,221,1,0.12233135841892,UCLA
HCD2400026,176,0,0.10934077641367,Harvard
HCD2400632,189,1,0.119975968116082,Harvard
HCD2427753,233,1,0.1118209452828,UMinn
HCD2449763,186,1,0.134319359516571,WashU
HCD2462654,182,1,0.112561920813363,UMinn
HCD2478669,135,1,0.14790267272252,UMinn
HCD2483561,226,0,0.115487584822612,Harvard
HCD2483662,102,0,0.107452077291143,UMinn
HCD2485666,117,0,0.152411400892896,UCLA
HCD2491257,165,0,0.100404595148003,Harvard
HCD2496570,206,1,0.0996709183548954,Harvard
HCD2499576,263,1,0.0743917237915735,UMinn
HCD2504038,166,0,0.077696294316568,UMinn
HCD2523345,120,0,0.126648069616125,Harvard
HCD2524751,186,1,0.152676635468316,UCLA
HCD2537457,262,0,0.0925353568138016,UCLA
HCD2540648,167,0,0.126877164475064,UCLA
HCD2543250,153,1,0.177019059625465,UMinn
HCD2554255,192,0,0.142401305551329,UMinn
HCD2556158,260,1,0.0865744519612779,UMinn
HCD2565664,240,0,0.136348430961674,UMinn
HCD2568670,170,1,0.144389471014444,UMinn
HCD2581763,175,1,0.179037041938187,WashU
HCD2594671,113,1,0.151587338170587,UCLA
HCD2594772,128,0,0.144220070364387,UCLA
HCD2606652,201,1,0.100420663129106,UCLA
HCD2612142,252,0,0.0778849223149785,Harvard
HCD2618053,184,1,0.107925397712161,UMinn
HCD2631954,164,1,0.105932171512783,WashU
HCD2633554,156,1,0.175629780172539,WashU
HCD2655766,120,1,0.154887477591385,WashU
HCD2669575,155,0,0.0829620496885302,Harvard
HCD2679073,250,0,0.0564161096476006,UMinn
HCD2685169,146,0,0.185875153948218,UCLA
HCD2692671,125,0,0.252874252346346,UMinn
HCD2696780,223,1,0.0651838170595757,WashU
HCD2704551,127,0,0.137076819260132,UCLA
HCD2714655,178,1,0.0987070218092393,UCLA
HCD2715152,182,0,0.1089849865132,WashU
HCD2721147,160,0,0.122053790069671,WashU
HCD2724456,231,0,0.107873335273009,Harvard
HCD2731049,171,1,0.14898884740893,Harvard
HCD2737869,194,0,0.151707531437565,UMinn
HCD2740454,177,1,0.0883960316671418,UMinn
HCD2741961,179,1,0.109134466744422,UMinn
HCD2743157,110,0,0.157942722242234,WashU
HCD2748672,183,0,0.125405599038031,Harvard
HCD2751560,178,0,0.133385733272778,WashU
HCD2751964,113,0,0.143858216877077,UCLA
HCD2754061,176,1,0.154213274636087,Harvard
HCD2757370,172,1,0.108246649265093,WashU
HCD2761967,132,0,0.110873391795793,Harvard
HCD2764771,229,0,0.0829270656126221,WashU
HCD2768981,174,1,0.214732476819482,Harvard
HCD2785678,203,0,0.0966644604863395,UCLA
HCD2786074,126,0,0.170217577047334,UCLA
HCD2795479,143,0,0.175929509046789,UMinn
HCD2797584,216,0,0.103660599163141,WashU
HCD2801852,249,0,0.0812229919851639,UMinn
HCD2804151,169,1,0.194043223398459,UMinn
HCD2807460,202,1,0.100538617697959,WashU
HCD2810954,213,0,0.159904117913022,WashU
HCD2811552,164,1,0.150291689632604,UCLA
HCD2812352,127,0,0.19647895192546,UCLA
HCD2820351,252,1,0.0794528346705046,Harvard
HCD2828569,119,0,0.114063013059358,Harvard
HCD2832863,169,1,0.183286998963175,UCLA
HCD2833461,119,0,0.120082143963615,UMinn
HCD2841965,263,0,0.11406846234139,WashU
HCD2855875,97,1,0.194235767655749,Harvard
HCD2856170,179,0,0.127642925873722,WashU
HCD2860262,255,0,0.0561686236867474,UCLA
HCD2863975,136,0,0.127641988063119,UCLA
HCD2864270,255,0,0.141484161075975,Harvard
HCD2878382,166,0,0.0984182371114201,Harvard
HCD2879788,156,1,0.190166925507859,WashU
HCD2884175,175,0,0.15405457996414,UCLA
HCD2884377,118,0,0.126666501567322,UMinn
HCD2897184,177,1,0.150935896089552,UMinn
HCD2901654,196,1,0.111116749183642,Harvard
HCD2903759,234,1,0.137389884332437,Harvard
HCD2905460,175,1,0.178274685090837,WashU
HCD2926973,106,0,0.16467441465993,UMinn
HCD2930055,199,0,0.0903127599178957,UCLA
HCD2932665,183,1,0.234156724351264,WashU
HCD2936875,157,0,0.0956144652032471,Harvard
HCD2938172,136,0,0.153381897922704,UMinn
HCD2939275,195,0,0.101166013412502,WashU
HCD2945876,144,1,0.164972506913416,Harvard
HCD2957277,209,0,0.1149986108699,Harvard
HCD2968080,178,1,0.198418365449437,UMinn
HCD2976382,136,1,0.141353746899396,WashU
HCD2990073,163,0,0.114631659053385,Harvard
HCD2993079,194,0,0.0924645421113223,UMinn
HCD2996590,237,1,0.16424326608693,WashU
